from_type,from_id,to_type,to_id,flow
restaurant,139,center,69,76576.052336094
restaurant,140,center,170,58805.7511919081
restaurant,141,center,147,94965.8085065819
restaurant,142,center,149,67217.8234018069
restaurant,143,center,100,91405.8246556032
restaurant,144,center,138,48697.5698464485
restaurant,145,center,16,54699.2595016543
restaurant,146,center,147,61920.4837564171
restaurant,147,center,138,95150.8221817068
restaurant,148,center,2,29005.27090943011
restaurant,148,center,18,49722.78672481819
restaurant,149,center,130,92805.6072348541
restaurant,150,center,185,91498.0952401918
restaurant,151,center,138,79555.8841056444
restaurant,152,center,4,117732.245824512
restaurant,153,center,75,69279.1231220919
restaurant,154,center,198,68682.7262547967
restaurant,155,center,184,38836.1156913177
restaurant,156,center,138,53603.5635733785
restaurant,157,center,184,63681.6721076202
restaurant,158,center,4,45791.6312595193
restaurant,159,center,2,3972.5041947711143
restaurant,159,center,18,49722.78672481819
restaurant,160,center,138,32567.7941610916
restaurant,161,center,87,84639.7166337163
restaurant,162,center,18,28701.2678120892
restaurant,163,center,149,41330.6527612297
restaurant,164,center,126,77944.2946872584
restaurant,165,center,87,76132.2391384512
restaurant,166,center,147,68821.1610695899
restaurant,167,center,104,96084.5191917994
restaurant,168,center,126,60531.2184219285
restaurant,169,center,35,127564.38596615
restaurant,170,center,16,49854.2552345526
restaurant,171,center,69,101321.287000843
restaurant,172,center,147,101764.398198257
restaurant,173,center,195,79733.2047783933
restaurant,174,center,97,76486.4560294821
restaurant,175,center,91,56747.4015456695
restaurant,176,center,100,105143.084316723
restaurant,177,center,126,75242.6929044702
restaurant,178,center,104,50103.55972493964
restaurant,178,center,130,37685.491185969164
restaurant,179,center,69,87553.83424253571
restaurant,179,center,77,1161.4761011923838
restaurant,180,center,162,77254.6708273318
restaurant,181,center,35,96861.813445354
restaurant,182,center,12,74867.4595274933
restaurant,183,center,61,74006.2008894029
restaurant,184,center,130,75760.9442045075
restaurant,185,center,190,55369.1903707379
restaurant,186,center,18,121112.012382548
restaurant,187,center,91,40427.961161685
restaurant,188,center,170,96474.2237756966
restaurant,189,center,138,81892.0399250367
restaurant,190,center,100,130610.83851256
restaurant,191,center,4,40368.5265348812
restaurant,192,center,2,37128.94840787721
restaurant,192,center,91,49722.78672481819
restaurant,193,center,126,69815.8029047669
restaurant,194,center,85,55262.6974597537
restaurant,195,center,87,87637.551940821
restaurant,196,center,138,66998.8407099546
restaurant,197,center,162,103333.866345484
restaurant,198,center,87,57052.5025476967
restaurant,199,center,2,71246.12941764927
restaurant,199,center,91,49722.812195806735
restaurant,200,center,35,99539.4415309249
restaurant,201,center,97,38647.0618352216
restaurant,202,center,2,22992.992235882237
restaurant,202,center,87,49722.78672481819
restaurant,202,center,91,0.7726500333810691
restaurant,203,center,147,139626.211116641
restaurant,204,center,162,69217.4424025261
restaurant,205,center,4,71476.2196696858
restaurant,206,center,16,49659.9453377515
restaurant,207,center,147,50584.0099101706
restaurant,208,center,138,122820.240542845
restaurant,209,center,97,117466.677065941
restaurant,210,center,100,82248.9380332067
restaurant,211,center,138,104371.872000821
restaurant,212,center,87,111598.277181719
restaurant,213,center,35,68071.6066066197
restaurant,214,center,91,50505.177198458
restaurant,215,center,91,41870.4413644283
restaurant,216,center,16,130974.010120534
restaurant,217,center,147,108461.97158583
restaurant,218,center,184,57690.5159369894
restaurant,219,center,4,74071.7485112817
restaurant,220,center,18,100613.965427917
restaurant,221,center,147,29199.2150657242
restaurant,222,center,147,90896.9274958787
restaurant,223,center,61,49010.0932154005
restaurant,224,center,104,50760.4840112385
restaurant,225,center,69,105740.745714471
restaurant,226,center,87,54673.3320498267
restaurant,227,center,100,72262.610984042
restaurant,228,center,147,73839.9095405154
restaurant,229,center,4,71655.9131568375
restaurant,230,center,16,67739.3677069526
restaurant,231,center,16,85731.2128887593
restaurant,232,center,195,45050.4905329253
restaurant,233,center,190,59073.2863774026
restaurant,234,center,16,109537.17849849
restaurant,235,center,147,41504.8702715448
restaurant,236,center,87,69954.76529289
restaurant,237,center,2,26244.217471415308
restaurant,237,center,18,49722.78672481819
restaurant,238,center,138,98093.3232203675
restaurant,239,center,97,8611.637260297517
restaurant,239,center,198,5460.737618918984
restaurant,240,center,149,52884.4723094506
restaurant,241,center,87,95074.7615709708
restaurant,242,center,87,49722.78672481819
restaurant,242,center,130,55928.72311304281
restaurant,243,center,35,96174.4039231126
restaurant,244,center,16,81966.4762261852
restaurant,245,center,97,56823.9947816981
restaurant,246,center,18,60804.1237922349
restaurant,247,center,138,116809.961353951
restaurant,248,center,16,72122.4164287698
restaurant,249,center,87,10000.0
restaurant,250,center,149,80564.9326166494
restaurant,251,center,190,67444.3343042069
restaurant,252,center,147,78302.5709532504
restaurant,253,center,147,61777.2696414024
restaurant,254,center,149,124901.864825118
restaurant,255,center,162,75963.0626543201
restaurant,256,center,190,129322.547841921
restaurant,257,center,97,48850.066554255405
restaurant,257,center,138,30423.105054738
restaurant,258,center,147,82897.3504101047
restaurant,259,center,69,100677.841589711
restaurant,260,center,85,8731.939614449511
restaurant,260,center,196,109986.62297388849
restaurant,261,center,91,90075.1538658175
restaurant,262,center,16,60070.6579922697
restaurant,263,center,4,45090.3463139298
restaurant,264,center,4,129053.752320788
restaurant,265,center,195,75446.0369740452
restaurant,266,center,75,29860.803887898306
