"","NTAName","BoroName","latitude","longitude"
"221","Hollis","Queens",40.7118647143945,-73.7621127138139
"222","Glen Oaks-Floral Park-New Hyde Park","Queens",40.7459505987738,-73.7109611921767
"223","Bellerose","Queens",40.7354920441264,-73.7266915763152
"224","Queens Village","Queens",40.7160822677866,-73.7417543078076
"225","Cambria Heights","Queens",40.6943417325243,-73.7355528139131
"226","Laurelton","Queens",40.6759131826207,-73.7445051808698
"227","Springfield Gardens (South)-Brookville","Queens",40.6601670381536,-73.7614796744272
"228","Rosedale","Queens",40.6590486716717,-73.73566064225
"229","Montefiore Cemetery","Queens",40.6858042181046,-73.7420448897129
"230","Far Rockaway-Bayswater","Queens",40.6016978889476,-73.7565525860955
"231","Rockaway Beach-Arverne-Edgemere","Queens",40.5915681301478,-73.7963079237021
"232","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Queens",40.578183662244,-73.860555957281
"233","Rockaway Community Park","Queens",40.6033775205169,-73.7805217485517
"234","LaGuardia Airport","Queens",40.7744073327429,-73.8732550657714
"235","Flushing Meadows-Corona Park","Queens",40.7405452271051,-73.8407699663331
"236","Forest Park","Queens",40.7020761130444,-73.8534613068468
"237","John F. Kennedy International Airport","Queens",40.646974283141,-73.7865658743563
"238","Jamaica Bay (East)","Queens",40.6169136321635,-73.8138148853751
"239","Jacob Riis Park-Fort Tilden-Breezy Point Tip","Queens",40.5585831132415,-73.9041267746952
"240","St. George-New Brighton","Staten Island",40.642185774835,-74.0855331672949
"241","Tompkinsville-Stapleton-Clifton-Fox Hills","Staten Island",40.6261036795298,-74.0788361762824
"242","Rosebank-Shore Acres-Park Hill","Staten Island",40.6116856124166,-74.0727690832413
"243","West New Brighton-Silver Lake-Grymes Hill","Staten Island",40.6280657093345,-74.1013039347588
"244","Westerleigh-Castleton Corners","Staten Island",40.6170008045577,-74.1287964787644
"245","Port Richmond","Staten Island",40.6338334278201,-74.1331774824803
"246","Mariner's Harbor-Arlington-Graniteville","Staten Island",40.6313322473796,-74.1673658355876
"247","Snug Harbor","Staten Island",40.6425943520003,-74.1032718730263
"248","Grasmere-Arrochar-South Beach-Dongan Hills","Staten Island",40.5935395931219,-74.0812736593188
"249","New Dorp-Midland Beach","Staten Island",40.5743145808625,-74.1015870943763
"250","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights","Staten Island",40.5896535072979,-74.1282707990697
"251","New Springville-Willowbrook-Bulls Head-Travis","Staten Island",40.6037232015601,-74.1754512611261
"252","Freshkills Park (North)","Staten Island",40.5828500158073,-74.1785410697201
"253","Oakwood-Richmondtown","Staten Island",40.561998139437,-74.1225899187635
"254","Great Kills-Eltingville","Staten Island",40.5502530947301,-74.1549723406468
"255","Arden Heights-Rossville","Staten Island",40.5526417847042,-74.1969035636583
"256","Annadale-Huguenot-Prince's Bay-Woodrow","Staten Island",40.5283913786717,-74.1980430601416
"257","Tottenville-Charleston","Staten Island",40.5246451868324,-74.2354841138258
"258","Freshkills Park (South)","Staten Island",40.5680747625062,-74.1976011662586
"259","Fort Wadsworth","Staten Island",40.6015174713685,-74.0585332067836
"260","Hoffman & Swinburne Islands","Staten Island",40.5762397406706,-74.053140617737
"261","Miller Field","Staten Island",40.5687317486223,-74.0973046125391
"262","Great Kills Park","Staten Island",40.545778342056,-74.1283445343589
